dates, values
22-Aug-06,299
23-Aug-06,277
24-Aug-06,290
25-Aug-06,282
26-Aug-06,274
27-Aug-06,295
28-Aug-06,324
29-Aug-06,319
30-Aug-06,286
31-Aug-06,275
01-Sep-06,270
02-Sep-06,268
03-Sep-06,287
04-Sep-06,303
05-Sep-06,307
06-Sep-06,298
07-Sep-06,303
08-Sep-06,313
09-Sep-06,274
10-Sep-06,320
11-Sep-06,335
12-Sep-06,302
13-Sep-06,289
14-Sep-06,289
15-Sep-06,312
16-Sep-06,315
17-Sep-06,338
18-Sep-06,365
19-Sep-06,359
20-Sep-06,347
21-Sep-06,308
22-Sep-06,315
23-Sep-06,283
24-Sep-06,338
25-Sep-06,335
26-Sep-06,298
27-Sep-06,303
28-Sep-06,294
29-Sep-06,286
30-Sep-06,303
01-Oct-06,308
02-Oct-06,326
03-Oct-06,290
04-Oct-06,301
05-Oct-06,279
06-Oct-06,298
07-Oct-06,301
08-Oct-06,312
09-Oct-06,340
10-Oct-06,341
11-Oct-06,294
12-Oct-06,322
13-Oct-06,324
14-Oct-06,291
15-Oct-06,298
16-Oct-06,317
17-Oct-06,321
18-Oct-06,311
19-Oct-06,297
20-Oct-06,307
21-Oct-06,291
22-Oct-06,323
23-Oct-06,319
24-Oct-06,299
25-Oct-06,289
26-Oct-06,301
27-Oct-06,256
28-Oct-06,301
29-Oct-06,315
30-Oct-06,323
31-Oct-06,285
01-Nov-06,304
02-Nov-06,288
03-Nov-06,287
04-Nov-06,290
05-Nov-06,302
06-Nov-06,345
07-Nov-06,319
08-Nov-06,327
09-Nov-06,265
10-Nov-06,302
11-Nov-06,323
12-Nov-06,325
13-Nov-06,325
14-Nov-06,329
15-Nov-06,284
16-Nov-06,332
17-Nov-06,280
18-Nov-06,312
19-Nov-06,288
20-Nov-06,338
21-Nov-06,290
22-Nov-06,267
23-Nov-06,240
24-Nov-06,301
25-Nov-06,331
26-Nov-06,308
27-Nov-06,354
28-Nov-06,330
29-Nov-06,299
30-Nov-06,314
01-Dec-06,333
02-Dec-06,287
03-Dec-06,297
04-Dec-06,335
05-Dec-06,301
06-Dec-06,296
07-Dec-06,313
08-Dec-06,290
09-Dec-06,300
10-Dec-06,304
11-Dec-06,343
12-Dec-06,304
13-Dec-06,309
14-Dec-06,332
15-Dec-06,327
16-Dec-06,312
17-Dec-06,329
18-Dec-06,329
19-Dec-06,319
20-Dec-06,266
21-Dec-06,275
22-Dec-06,276
23-Dec-06,324
24-Dec-06,280
25-Dec-06,307
26-Dec-06,342
27-Dec-06,345
28-Dec-06,322
29-Dec-06,306
30-Dec-06,324
31-Dec-06,288
01-Jan-07,350
02-Jan-07,359
03-Jan-07,310
04-Jan-07,301
05-Jan-07,313
06-Jan-07,319
07-Jan-07,330
08-Jan-07,344
09-Jan-07,319
10-Jan-07,301
11-Jan-07,289
12-Jan-07,305
13-Jan-07,293
14-Jan-07,294
15-Jan-07,300
16-Jan-07,292
17-Jan-07,298
18-Jan-07,304
19-Jan-07,270
20-Jan-07,281
21-Jan-07,295
22-Jan-07,295
23-Jan-07,282
24-Jan-07,304
25-Jan-07,289
26-Jan-07,257
27-Jan-07,279
28-Jan-07,267
29-Jan-07,306
30-Jan-07,262
31-Jan-07,280
01-Feb-07,279
02-Feb-07,300
03-Feb-07,317
04-Feb-07,279
05-Feb-07,327
06-Feb-07,273
07-Feb-07,297
08-Feb-07,278
09-Feb-07,275
10-Feb-07,283
11-Feb-07,305
12-Feb-07,330
13-Feb-07,308
14-Feb-07,238
15-Feb-07,293
16-Feb-07,292
17-Feb-07,336
18-Feb-07,324
19-Feb-07,342
20-Feb-07,313
21-Feb-07,310
22-Feb-07,322
23-Feb-07,292
24-Feb-07,312
25-Feb-07,295
26-Feb-07,321
27-Feb-07,314
28-Feb-07,315
01-Mar-07,271
02-Mar-07,320
03-Mar-07,314
04-Mar-07,308
05-Mar-07,303
06-Mar-07,288
07-Mar-07,298
08-Mar-07,303
09-Mar-07,294
10-Mar-07,282
11-Mar-07,292
12-Mar-07,336
13-Mar-07,353
14-Mar-07,343
15-Mar-07,302
16-Mar-07,265
17-Mar-07,285
18-Mar-07,306
19-Mar-07,319
20-Mar-07,313
21-Mar-07,327
22-Mar-07,291
23-Mar-07,292
24-Mar-07,324
25-Mar-07,323
26-Mar-07,335
27-Mar-07,320
28-Mar-07,322
29-Mar-07,335
30-Mar-07,312
31-Mar-07,297
06-Apr-07,1
10-Apr-07,1
12-Apr-07,1
17-Apr-07,1
19-Apr-07,1
03-May-07,1
08-May-07,1
12-May-07,1
13-May-07,1
16-May-07,1
19-May-07,1
28-May-07,4
30-May-07,1
04-Jun-07,2
07-Jun-07,3
09-Jun-07,1
10-Jun-07,1
12-Jun-07,1
19-Jun-07,1
21-Jun-07,1
22-Jun-07,1
